name,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,age
Herman Renting,1,3,0,182.88,97.52,182.88,Switch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0
Kazuyuki Miyata,15,9,0,172.72,63.05,182.88,Orthodox,2.04,52.0,1.82,63.0,4.31,46.0,68.0,0.0,36.0
Suman Mokhtarian,8,5,0,172.72,65.77,182.88,Orthodox,2.21,43.0,6.85,48.0,0.0,0.0,0.0,0.0,33.0
Yusuke Kawaguchi,18,12,0,182.88,115.67,182.88,Unknown,2.87,47.0,3.93,50.0,0.0,0.0,72.0,0.0,45.0
Adin Duenas,6,1,0,167.64,65.77,182.88,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
Noe Hernandez,5,5,0,177.8,77.11,182.88,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0
Mark Hall,5,6,0,182.88,86.18,182.88,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0
KyeungPyo Kim,11,4,0,175.26,70.31,180.34,Orthodox,6.77,46.0,6.32,63.0,3.87,40.0,100.0,0.0,33.0
David Levicki,1,3,0,195.58,124.74,182.88,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0
George Bush,5,2,0,185.42,92.99,182.88,Unknown,6.35,64.0,2.31,55.0,17.31,66.0,0.0,0.0,44.0
Sean O'Haire,4,2,0,195.58,122.47,182.88,Orthodox,8.28,57.0,22.76,21.0,0.0,0.0,0.0,0.0,54.0
Tommy Hayden,11,3,0,175.26,65.77,182.88,Southpaw,1.48,27.0,2.05,55.0,3.42,33.0,66.0,0.0,39.0
Yusuke Imamura,2,6,0,172.72,99.79,182.88,Orthodox,0.18,50.0,1.83,52.0,2.75,50.0,0.0,0.0,44.0
Han Ten Yun,0,1,0,180.34,99.79,182.88,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0
Chad W. Saunders,7,2,0,177.8,77.11,182.88,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0
Tom Egan,7,5,0,180.34,77.11,182.88,Orthodox,0.0,0.0,3.91,50.0,0.0,0.0,28.0,0.0,39.0
Curtis Millender,17,5,0,187.96,77.11,193.04,Orthodox,3.86,46.0,2.95,61.0,0.43,100.0,57.0,0.0,38.0
Jose Perez,1,0,0,177.8,77.11,182.88,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0
Ramazan Kuramagomedov,8,0,0,185.42,77.11,185.42,Orthodox,11.67,67.0,9.13,54.0,1.0,14.0,0.0,0.0,29.0
Zak Bucia,17,8,0,177.8,77.11,182.88,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0
Gil Castillo,8,5,0,175.26,77.11,182.88,Southpaw,0.6,45.0,2.22,44.0,3.33,45.0,50.0,0.0,60.0
Kenneth Alexander,7,6,0,175.26,70.31,182.88,Orthodox,0.88,19.0,2.2,66.0,4.71,26.0,0.0,0.0,48.0
Josefine Knutsson,7,0,0,160.02,52.16,152.4,Orthodox,3.73,52.0,1.33,64.0,2.67,72.0,100.0,0.0,29.0
Marcelo Aguiar,2,3,1,177.8,77.11,182.88,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0
Angga,13,3,0,170.18,65.77,172.72,Orthodox,3.56,38.0,3.77,53.0,0.0,0.0,33.0,0.0,36.0
Matt Horning,20,25,0,162.56,56.7,182.88,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
Justin Lawrence,10,4,0,172.72,65.77,170.18,Orthodox,3.84,35.0,2.83,67.0,0.72,28.0,73.0,0.0,35.0
Takashi Sugiura,1,3,0,180.34,102.06,182.88,Southpaw,1.37,40.0,2.08,53.0,1.33,66.0,0.0,0.0,55.0
Scott Bills,7,9,1,177.8,77.11,182.88,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0
Michiyoshi Ohara,0,2,0,177.8,92.99,182.88,Orthodox,0.28,29.0,3.13,48.0,0.0,0.0,33.0,0.0,44.0
Yan Qihui,11,4,0,160.02,56.7,157.48,Orthodox,4.01,60.0,1.78,72.0,4.46,100.0,100.0,0.0,29.0
